Threshold,Precision,Recall,F1
0.2,0.4686131386861314,0.8582887700534759,0.6062322946175638
0.25,0.49514563106796117,0.8181818181818182,0.6169354838709677
0.3,0.5192660550458715,0.7566844919786097,0.6158868335146899
0.35,0.5411522633744856,0.7032085561497327,0.6116279069767442
0.39999999999999997,0.5653153153153153,0.6711229946524064,0.6136919315403423
0.44999999999999996,0.6015625,0.6176470588235294,0.6094986807387863
0.49999999999999994,0.6551724137931034,0.5588235294117647,0.6031746031746031
0.5499999999999999,0.67578125,0.4625668449197861,0.5492063492063493
0.5999999999999999,0.7233009708737864,0.3983957219251337,0.5137931034482759
0.6499999999999999,0.7483443708609272,0.30213903743315507,0.43047619047619046
0.7,0.7419354838709677,0.18449197860962566,0.2955032119914347
0.7499999999999998,0.7435897435897436,0.07754010695187166,0.14043583535108958
0.7999999999999998,0.75,0.02406417112299465,0.046632124352331605
